2026-02-03 11:15:01,311 - VALO360 - DEBUG - 找到指令檔: D:\((Python TOOL\指令工具-20250428T020034Z-001\360-command-tool\Command_TABLE\command.txt
2026-02-03 11:15:01,517 - VALO360 - INFO - 成功載入 94 個指令
2026-02-03 11:15:01,563 - VALO360 - INFO - main.py 啟動
2026-02-03 11:15:01,563 - VALO360 - INFO - 指令通主程式啟動
2026-02-03 11:15:01,564 - VALO360 - INFO - 程式啟動時檢查安全簽名...
2026-02-03 11:15:01,567 - VALO360 - INFO - 安全簽名驗證通過，開始創建GUI...
2026-02-03 11:15:01,568 - VALO360 - DEBUG - ConfigManager: 自動保存已禁用
2026-02-03 11:15:01,568 - VALO360 - INFO - ConfigManager自動保存已禁用
2026-02-03 11:15:01,568 - VALO360 - INFO - 未找到關鍵字高亮設定文件，使用空設定
2026-02-03 11:15:01,804 - VALO360 - DEBUG - 配置已備份至: backup\setup_backup_20260203_111501.json
2026-02-03 11:15:01,813 - VALO360 - DEBUG - 已刪除舊備份: backup\setup_backup_20260108_102814.json
2026-02-03 11:15:01,814 - VALO360 - DEBUG - 配置載入成功
2026-02-03 11:15:01,816 - VALO360 - INFO - 統一設定管理器已初始化
2026-02-03 11:15:01,949 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:15:04,160 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:15:05,398 - VALO360 - INFO - 應用程式圖示設置成功: D:\((Python TOOL\指令工具-20250428T020034Z-001\360-command-tool\assets\icon.ico
2026-02-03 11:15:05,398 - VALO360 - INFO - 視窗設置完成: PEGA指令通_3.0.0 (1522x741)
2026-02-03 11:15:05,399 - VALO360 - INFO - 程式啟動時更新標籤頁名稱
2026-02-03 11:15:05,403 - VALO360 - INFO - 應用程式啟動完成，進入主循環
2026-02-03 11:15:05,414 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:15:06,813 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:15:09,961 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:15:12,975 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:15:15,999 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:15:16,707 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:15:19,020 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:15:22,040 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:15:25,056 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:15:28,076 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:15:31,106 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:15:34,125 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:15:37,136 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:15:40,142 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:15:43,172 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:15:46,185 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:15:49,210 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:15:52,245 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:15:55,253 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:15:58,272 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:16:01,286 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:16:04,294 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:16:07,317 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:16:10,329 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:16:13,345 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:16:16,352 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:16:19,359 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:16:22,378 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:16:25,399 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:16:28,414 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:16:31,439 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:16:34,455 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:16:37,474 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:16:40,493 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:16:43,518 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:16:43,861 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:16:46,543 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:16:49,574 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:16:52,595 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:16:55,609 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:16:58,634 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:17:01,671 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:17:04,696 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:17:07,709 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:17:10,718 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:17:13,734 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:17:16,759 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:17:19,776 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:17:22,787 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:17:25,799 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:17:28,820 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
